// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
//no need to check laziness, dirty checking handles that
// long
//TODO: make this handle multiple collection roles!
// features which remain constant across 8i, 9i, and 10g ~~~~~~~~~~~~~~~~~~
// todo : should seriously consider not allowing a txn to begin from a child session //      can always route the request to the root session...
// the map of batch numbers to EntityInsertAction lists
//if dotted and not load-collection nor return-join //regular property
// First, try to locate this resource through the current // context classloader.
// strip table-owner because Informix always returns constraint names as "<table-owner>.<constraint-name>"
// Run a subquery loader
// we can do the cast since orphan-delete does not apply to: // 1. newly instantiated collections // 2. arrays (we can't track orphans for detached arrays)
// collections cannot be compared
// break the outer loop !!!
//TODO: assertion only, could be optimized away
// switch
//select SQL
//TODO: native ids
// the owning entity may have been deleted and its identifier unset due to // identifier-rollback; in which case, try to look up its identifier from // the persistence context
// Loaded entity instances, by EntityUniqueKey
// Does this dialect support check constraints?
// during deserialization, we need to reconnect all proxies and // collections to this session, as well as the EntityEntry and // CollectionEntry instances; these associations are transient // because serialization is used for different things.
// first, try to load it from the temp PC associated to this SS
// the closure of all columns used by the entire hierarchy including // subclasses and superclasses of this class
// An ident node can represent an index expression if the ident // represents a naked property ref //      *Note: this makes the assumption (which is currently the case //      in the hql-sql grammar) that the ident is first resolved //      itself (addrExpr -> resolve()).  The other option, if that //      changes, is to call resolve from here; but it is //      currently un-needed overhead.
// cannot be instantiated
// the key is the owning entity itself, so get the ID from the key
// If the from element isn't in the same clause, create a new from element.
// Begin second unit of work
//TODO: move to .sql package, and refactor with similar things!
// TODO Is this a valid operation on a timestamps cache?
// Default the Proxool alias setting
//there is probably a row there, so try to update //if no rows were updated, we will find out
"//		extendsQueue = new ArrayList();"
// assume we do *not* refer to a property on the given persister
//SQL Generation settings:
// A shallow query is ok (although technically there should be no fetching here...)
"/*public boolean equals(Object other) {		read();		return bag.equals(other);	}	public int hashCode(Object other) {		read();		return bag.hashCode();	}*/"
//render the where and from parts
//use the id passed in
// todo : would love to have this work on a notification basis //    where the successful binding of an entity/subclass would //    emit a notification which the extendsQueue entries could //    react to...
"/*return that.type.equals(type) && 			EqualsHelper.equals(that.value, value);*/"
// Make #@%$^#^&# sure no alias is applied to the table name
// aload 4 // load the raw bean
// used from testsuite
// for now, just "re-flatten" the metamodel since this is temporary stuff anyway (HHH-1907)
// collections don't dirty an unversioned parent entity
// let the persister inspect the instance to decide
// check the version unsaved-value, if appropriate
//JNDI + Serialization:
//test out the optimizer:
//note that i parameter is now unused (delete it?)
// Identity map of array holder ArrayHolder instances, by the array instance
// If this dot has already been resolved, stop now.
// Make sure that all from elements registered with this FROM clause are actually in the AST.
// assume this ident's text does *not* refer to a property on the given persister
// Here we render the select column list based on the properties defined as being generated. // For partial component generation, we currently just re-select the whole component // rather than trying to handle the individual generated portions.
// The current_timestamp is more accurate, but only known to be supported // in SQL Server 7.0 and later (i.e., Sybase not known to support it at all)
// the last used iterator
// ifnonnull
// If this is an entity and the property is the identifier property, then use getIdentifierType(). //      Note that the propertyName.equals( propertyPath ) checks whether we have a component //      key reference, where the component class property name is the same as the //      entity id property name; if the two are not equal, this is the case and //      we'd need to "fall through" to using the property mapping.
//register collection role
// todo : YUCK!!!
// don't care...
//handle empty collections
// SUBCLASSES
// ignore!
// If there is no WHERE node, make one.
// if we know there is exactly 1 row, we can skip. // it would be great if we could _always_ skip this; // it is a problem for <key-many-to-one>
"//			Iterator iterator = extendsQueue.iterator();"
// First, collect all of the select expressions. // NOTE: This must be done *before* invoking setScalarColumnText() because setScalarColumnText() // changes the AST!!!
// Pointbase has no known variation of a "SELECT ... FOR UPDATE" syntax...
// joined subclasses
// we found it in the temp PC.  Should indicate we are in the midst of processing a result set // containing eager fetches via join fetch
// this is equivalent to the old behavior...
"// here, we have two possibilities: // 		1) the property-name matches the explicitly identifier property name //		2) the property-name matches the implicit 'id' property name"
//TODO: always true for now, but not if we later decide to support elements() in the from clause
// before any callbacks, etc, so subdeletions see that this deletion happened first
//q.addCollection(collectionName, collectionRole);
// Used with DROP TABLE to delete all records in the table.
//return the id in the event object
// Append the stem to the proxool pool alias
//now render the joins
// deletes ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Add the new node to the map so that we don't create it twice.
"//	private final List persisters = new ArrayList();"
// See if the user configured a multiplexer stack
// we represent a naked (simple) prop-ref
//TODO!!!
// If the token can tell us if it could be an identifier...
// look for existing collection as part of the persistence context
//add the restriction to the outer select
//checkForEnd = false;
// parameters on the property mapping should // override parameters in the typedef
// Don't hold a transactional lock for this
// we have an embedded composite identifier
// handle trace logging ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
"//		String provider = properties.getProperty( Environment.BYTECODE_PROVIDER ); //		log.info( ""Bytecode provider name : "" + provider ); //		BytecodeProvider bytecodeProvider = buildBytecodeProvider( provider ); //		settings.setBytecodeProvider( bytecodeProvider );"
// we found it
// add new ordered map
// Collect the select expressions, skip the first child because it is the class name.
// Remember the parameters for the compilation.
// null or brand new collection // this will also (inefficiently) handle arrays, which have // no snapshot, so we can't do any better
//return the id, so we can use it to reset the proxy id //return result;
// really there are two situations where it should be ok to allow the insertion // into properties defined on a superclass: //      1) union-subclass with an abstract root entity //      2) discrim-subclass // // #1 is handled already because of the fact that // UnionSubclassPersister alreay always returns 0 // for this call... // // we may want to disallow it for discrim-subclass just for // consistency-sake (currently does not work anyway)...
//use a combination of foreign key columns and pk columns, since //the ordering of removal and addition is not guaranteed when //a child moves from one parent to another
// we can't cascade to non-embedded elements
// We need to seed the version value as part of this bulk insert
// Always add the type to the return type list.
//sql = query;
// Make sure we don't re-release the same cache
