// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// Rubygems is too specific on host cpu so until we have real need lets default to universal //setConfig(configHash, "arch", System.getProperty("os.arch") + "-java" + System.getProperty("java.specification.version"));
// terminate; tryCompile will have printed out an error and we're done
// Check if we can optimize this call based on the receiving method and receiver type // Use the simplified receiver!
// Does this method define code?  // Default is yes -- which basically leads to pessimistic but safe optimizations // But, for library and internal methods, this might be false.
// Can this call lead to ruby code getting modified?   // If we don't know what method we are calling, we assume it can (pessimistic, but safe!) // If we do know the target method, we ask the method itself whether it modifies ruby code
// line 1168
// line 515
// only supports simple parallel assignment of up to 4 values to the same number of assignees
// interned, OK for "fast" methods
// Double.MAX_EXPONENT since Java 1.6
// line 1440
// JRUBY-646 // presumably this require should fail
// line 533
// Next, we define a few private methods that we'll use to manipulate // the Java object contained within this Ruby object
// load all arguments straight through
// if there's no constructor, we must prevent construction
// promise to implement one to three with block
// line 1115
// superClass may be null.
// no more values to stick in rest arg
// XXX: do something?
// admittedly inefficient
// we filled up current byte; append it and create next one
//[RubyClass] //[]
// ?s  | int/nil | If file1 has nonzero size, return the size, otherwise nil
// add all static variables
// line 1772
// for Object, default to natural wrapper type
// one arg, no block; load NULL_BLOCK
// TODO: NOT_ALLOCATABLE_ALLOCATOR may be ok here, but it's unclear how Structs // work with marshalling. Confirm behavior and ensure we're doing this correctly. JRUBY-415
// line 1443
// line 601
// load self, class, and name
// be dead
// TODO? I think this ends up propagating from normal Java exceptions // sys_fail(openFile.getPath())
// promise to implement N
/* class methods for IO */
// // Wake up any channels that became unblocked //
// double precision, native
// if more than 4 locals, get the locals array too
// flush afer whole dump is complete
// we set scope-aware to true to force heap-based locals
// it doesn't handle special cases
// let the width (if any), get processed in the next loop, // so any leading 0 gets treated correctly
// ?e  | boolean | True if file1 exists
//            write('S');
// fields to hold Ruby and RubyClass references
// it won't hurt fixnums
// line 928
// ENEBO: 1.9 is IS_ARG, but we need to break apart for 1.8 support.
/* complete, according to Posix.2 */
// RubySocket
// dup it since we need to return appropriately if it's false
// flags // 4 bytes of modified time
// Exclusive locks in Java require the channel to be writable, otherwise // an exception is thrown (terminating JRuby execution). // But flock behavior of MRI is that it allows // exclusive locks even on non-writable file. So we convert exclusive // lock to shared lock if the channel is not writable, to better match // the MRI behavior.
// line 1445
// TODO: we can probably release our references to the constantFields // array and static/instance callback hashes at this point.
// skip inner braces
// ok, it's a socket...set values accordingly // just using AF_INET since we can't tell from SocketChannel...
/* failed : try next recursion */
// NE == nonzero (i.e. true)
// FIXME: ConstDecl could be two seperate classes (or done differently since constNode and name // never exist at the same time.
// create static private method field
// UndefinedMethod should be immutable
// line 1948
/* intDigits = 1; */
// The following three methods must be defined fast, since they expect to modify the current frame // (i.e. they expect no frame will be allocated for them). JRUBY-1185.
"/* The counting of slashes that follows is simply a way to adhere to          * Ruby's UNC (or something) compatibility. When Ruby's expand_path is          * called with ""//foo//bar"" it will return ""//foo/bar"". JRuby uses          * java.io.File, and hence returns ""/foo/bar"". In order to retain          * java.io.File in the lower layers and provide full Ruby          * compatibility, the number of extra slashes must be counted and          * prepended to the result.         */"
/* substring longer than string */
//def self.getaddrinfo(host, port, family = nil, socktype = nil, protocol = nil, flags = nil)
// ENEBO: 1.9 has CURR nodes for local/block variables.  We don't.  I believe we follow proper logic
// rest in ivar count followed by name/value pairs
// include interface modules into the proxy class
// Call the thread's code
// line 586
// Collect iteration precisions beforehand
// caller
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// all these types are immediately considered "defined"
// 2. MRI allows underscores anywhere
// No timeout in critical section
// MRI behavior: now check arg count
// lazily create class init only if necessary
// line 345
// Now attach Java-related extras to core classes
// load receiver as original type for virtual invocation
// Accessor methods.
// put under object array already present
// TODO: newTypeError does not offer enough for ruby error string...
// calculation for negatives when %u specified // for values >= Integer.MIN_VALUE * 2, MRI uses (the equivalent of) //   long neg_u = (((long)Integer.MAX_VALUE + 1) << 1) + val // for smaller values, BigInteger math is required to conform to MRI's // result.
// Note that WE CAN'T say the following, because of the on-the-fly conversion of Fixnum to Long // assertTrue(value == valueViaValuesIterator);
// beneath are rewritten coercions that reflect MRI logic, the aboves are used only by RubyBigDecimal
// FIXME: potentially could just use ByteList here?
// modules are included with a shim class; we must find that shim to handle super() appropriately
// line 1136
/* $=: ignorecase */
//[RubyClass] //[RubyClass, RubyClass] //[RubyClass] //[]
// thread is not alive, skip it
// line 660
// line 1458
// line 1193
// Try to load from classpath without prefix. "A/b.rb" will not load as  // "./A/b.rb" in a jar file.
// JRubyServer
// no takers; bubble up
// checkcast the value; if match, fast path; otherwise proceed to slow logic
// otherwise, try to load from classpath (Note: Jar resources always uses '/')
// line 1363
// Next indicates to decode using native encoding format
// use array as-is, it's a literal array
// Replace a string of newlines with a single one
// if not sync, we switch to write buffered mode
// c: bind_eval
// we don't have another slash after this, so replace /. with /
// reopen a java class
// line 1023
// rb_ary_new4
// line 1399
// optimizations if we know ahead of time it will always be true or false
// -1 no match; 0 it is dot file not extension
// TODO: check safe, taint on incoming string
// Java reflection does not allow retrieving constructors like methods
