//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
//first look for a reference to a projection alias
// append the SQL to return the generated identifier //TODO: suck into Insert
// should not be able to reach last without maxPosition being set // unless there are no results
// iconst_i
//swallow
// build the map of standard ANSI SQL aggregation functions ~~~~~~~~~~~~~~~
// transactions marked for rollback-only cause some TM impls to throw exceptions
// Don't hold the JBC node lock throughout the tx, as that // prevents updates // Add a zero (or low) timeout option so we don't block // waiting for tx's that did a put to commit
//note: this affects the return value!
//if it is a formula index, use the element columns in the PK
// unfortunately not really safe to normalize this // to 1 as an initial value like we do the others // because we would not be able to control this if // we are using a sequence...
// ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ // Post-flushing section // ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// If the lhs is a collection, use CollectionPropertyMapping
//polymorphism comment above
// Compare the two maps for equality
// Establish the region root node with a non-locking data version
"// TBD should this be varbinary($1)? //		registerColumnType(Types.VARBINARY,     ""binary($1)"");"
// Object insertions, updates, and deletions have list semantics because // they must happen in the right order so as to respect referential // integrity
// Otherwise, try to use the no-arg constructor
// prepend value and type list with null for any positions before the wanted position.
//( (Column) sc.getTable().getPrimaryKey().getColumnIterator().next() ).getName();
// detached collections that get found + reattached // during flush shouldn't be ignored
// istore_3 // store i
// return the (fully resolved) identifier value, but do not resolve // to the actual referenced entity instance // NOTE: the owner of the association is not really the owner of the id!
"//		return !isOneToMany();"
// Does this dialect support FOR UPDATE OF, allowing particular rows to be locked?
//TODO: copy/paste from recreate()
//do not add unique constraint on DB not supporting unique and nullable columns
// we have an embedded composite identifier
// Criteria impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// callable statement support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//TODO: should this be Session.instantiate(Persister, ...)?
//TODO: temporary
// noop
// note: interface is assumed to already contain HibernateProxy.class
//unquotedIdentifierColumnName = null;
// We should use the _current_ object state (ie. after any updates that occurred during flush)
//do the failfast put outside the scope of the JTA txn
// we are now at a new tree level
// IDENT is a class alias in the FROM.
// If we want to handle it bidirectional and detached, we also need to load this // collection with an eager outer-join fetch, this time with Criteria and not HQL:
// TODO: should "record" how many properties we have reffered to - and if we  //       don't get'em'all we throw an exception! Way better than trial and error ;)
// SUBCLASSES
// if the original is a PersistentCollection, and that original // was not flagged as dirty, then reset the target's dirty flag // here after the copy operation. // </p> // One thing to be careful of here is a "bare" original collection // in which case we should never ever ever reset the dirty flag // on the target because we simply do not know...
//the following two lines were added to ensure that this.params is not null, which //can happen with two-deep nested subqueries
// DDL support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//render the where and from parts
//if its "id"
// checkcast // cast the bean into a raw bean
//not absolutely necessary, but helps for some //equals()/hashCode() implementations
// substitutes into values by side-effect
//should never happen, i think
// make the session available to the session factory's "current context"
// current timestamp support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// cannot be instantiated
// Should mean that no such property was found
//We do not look for an existing join on the same path, because //it makes sense to join twice on the same collection role
// release the jdk internal caches everytime to ensure this // plays nicely with destroyable class-loaders
//perhaps not really necessary...
// Base Expectation impls ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Associate the table alias with the element.
//private List aliases = new ArrayList();
// todo : this eventually needs to be removed
/*(array==null) ? tempList.size() :*/
// just ignore
//expressionTerminators.add(","); // deliberately excluded
//pass the entity-name, if not a collection-id
//what is the version on the database?
//if the hibernate-mapping did not specify a schema/catalog, use the defaults //specified by properties - but note that if the schema/catalog were specified //in hibernate-mapping, or as params, they will already be initialized and //will override the values set here (they are in identifierGeneratorProperties)
//( (Column) model.getTable().getPrimaryKey().getColumnIterator().next() ).getName();
// wrap the session in the transaction-protection proxy
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
// State ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// If there is a FROM fragment and the FROM element is an explicit, then add the from part.
//return the proxied object
//return AssociationType.FOREIGN_KEY_TO_PARENT; //this is better but causes a transient object exception...
//TODO handle supportsNotNullUnique=false, but such a case does not exist in the wild so far
// POLYMORPHISM
// for deprecated saveOrUpdateCopy()
// for DOM4J "collections" only // TODO: it would be better if this was done at the higher level by Printer
//handle empty collections
// hibernate seems to ignore this type...
// Create the FROM element for the target (the elements of the collection).
//just a performance opt!
//Force a substitution!
// the entity associated with the current action.
// Collection Types:
/*&& !('_'==character)*/
//final String queryString,
//update last non-whitespace token, if necessary
//TODO: handle the case of a foreign key to something other than the pk
// prepare and execute the insert
// astore_3 // store bean
// right represents a joins originating from left...
// invokeinterface
//assign the requested id to the proxy, *before* //reassociating the proxy
// Fetch Reader content up to the end - and put characters in a StringBuffer
// todo : i'd much rather have this done from #endLoadingCollection(CollectionPersister,LoadingCollectionEntry)...
// The syntax used to add a foreign key constraint to a table.
// check the version unsaved-value, if appropriate
// char
/////////////////////////////////////////////////////////////////////// // TODO : look at perhaps caching this...
// *return // each type
// Used with DROP TABLE to delete all records in the table.
//swaldman 2004-02-07: modify to allow null values to signify fall through to c3p0 PoolConfig defaults
// saves / updates don't cascade to uninitialized collections
